,ID,Thread,Port,Event,Index,cstruct
607,r608,T2,9688008,recv,7,"['s38', 's29', 's46', 'r600', 'r599', 's10', 'r4', 'r606', 's20', 'r603', 's47', 's28', 's55', 's64', 's37', 's2', 's19', 's11', 's1', 's4', 'r104']"
608,r609,T4,9688008,recv,6,"['s38', 's29', 's20', 's11', 's2', 'r73', 's56', 'r601', 'r294', 's45', 's47', 'r9', 's9', 's36', 's27', 'r604', 's18']"
609,r610,T1,9688008,recv,8,"['r3', 's46', 's45', 'r605', 's10', 's36', 's27', 'r607', 's54', 'r295', 's28', 's3', 's37', 's63', 's19', 'r602', 's1', 'r10', 's9', 's18', 'r292']"
610,r611,T2,9688008,recv,8,"['s38', 's29', 's46', 'r600', 'r599', 's10', 'r4', 'r606', 's20', 'r603', 's47', 's28', 's55', 's64', 's37', 'r608', 's2', 's19', 's11', 's1', 's4', 'r104']"
611,r612,T4,9688008,recv,7,"['s38', 's29', 's20', 's11', 's2', 'r73', 's56', 'r601', 'r609', 's45', 'r294', 's47', 's27', 'r9', 's36', 's9', 'r604', 's18']"
612,r613,T1,9688008,recv,4,"['r3', 's63', 'r586', 's1', 'r69', 's19', 's54', 's45', 's28', 's10', 's9', 's36', 's27', 's18']"
613,r614,T2,9688008,recv,4,"['s38', 's29', 's20', 's11', 's2', 's4', 'r20', 'r4', 'r11']"
614,r615,T1,9688008,recv,5,"['r3', 's63', 'r586', 's1', 'r69', 's19', 'r613', 's54', 's45', 's28', 's10', 's9', 's36', 's27', 's18', 's37']"
615,r616,T2,9688008,recv,5,"['s29', 's38', 'r614', 's20', 's11', 's2', 's4', 'r20', 'r4', 'r11']"
616,r617,T1,9688008,recv,6,"['r3', 's63', 'r586', 's1', 'r69', 's19', 's54', 'r613', 'r615', 's45', 's27', 's28', 's10', 's36', 's9', 's18', 's37']"
617,r618,T2,9688008,recv,6,"['s29', 's38', 'r614', 's20', 's11', 's1', 's2', 's46', 's19', 'r616', 's4', 'r20', 's28', 's10', 'r4', 's55', 'r11', 's37']"
618,r619,T1,9688008,recv,7,"['r3', 's46', 'r615', 's45', 's10', 's36', 's27', 'r69', 's54', 's28', 's37', 's63', 'r586', 's19', 'r613', 's1', 'r617', 's9', 's18']"
619,r620,T2,9688008,recv,7,"['s29', 's38', 's46', 'r616', 's10', 'r4', 's20', 'r20', 's28', 's55', 's64', 's37', 'r614', 's2', 's19', 'r618', 's11', 's1', 's4', 'r11']"
620,r621,T1,9688008,recv,8,"['r3', 's46', 'r615', 's45', 's10', 's36', 's27', 'r69', 's54', 's28', 's37', 's63', 'r586', 's19', 'r613', 'r617', 's1', 's9', 'r619', 's18']"
621,r622,T2,9688008,recv,8,"['s29', 's38', 's46', 'r616', 's10', 'r4', 's20', 'r20', 's28', 's55', 's64', 's37', 'r614', 's2', 's19', 'r618', 's11', 's1', 's4', 'r620', 'r11']"
622,r623,T1,9688008,recv,3,"['r3', 's1', 's54', 's45', 's27', 's10', 's36', 's9', 's18', 'r412']"
